number,substituent,σm,σp,F,R,References
1,BF_2,0.32,0.48,0.26,0.22,109
2,Br,0.39,0.23,0.45,-0.22,183
3,GeBr_3,0.66,0.73,0.61,0.12,139
4,SiBr_3,0.48,0.57,0.44,0.13,139
5,Cl,0.37,0.23,0.42,-0.19,183
6,HgCl,0.33,0.35,0.33,0.02,74
7,SO_2_Cl,1.20,1.11,1.16,(-0.05),134
8,SCl,0.44,0.48,0.42,0.06,74
9,ICl_2,1.10,1.11,1.03,0.08,110
10,P(O)Cl_2,0.78,0.90,0.70,0.20,74
11,PCl,0.54,0.61,0.50,0.11,164
12,P(S)Cl_2,0.70,0.80,0.63,0.17,74
13,GeCl_3,0.71,0.79,0.65,0.14,139
14,SiCl_3,0.48,0.56,0.44,0.12,139
15,F,0.34,0.06,0.45,-0.39,183
16,HgF,0.34,0.33,0.35,-0.02,74
17,SOF,0.74,0.83,0.67,0.16,74
18,SO_2_F,0.80,0.91,0.72,0.19,142
19,IF_2,0.85,0.83,0.82,0.01,110
20,POF_2,0.81,0.89,0.74,0.15,164
21,PF_2,0.49,0.59,0.44,0.15,109
22,GeF_3,0.85,0.97,0.76,0.21,139
23,SF_3,0.70,0.80,0.63,0.17,110
24,SiF_3,0.54,0.69,0.47,0.22,164
25,IF_4,1.07,1.15,0.98,0.17,110
26,PF_4,0.63,0.80,0.54,0.26,110
27,SF_5,0.61,0.68,0.56,0.12,179
28,I,0.35,0.18,0.42,-0.24,183
29,IO,0.58,0.62,0.55,0.07,63
30,IO_2,0.68,0.78,0.61,0.17,170
31,NO,0.62,0.91,0.49,0.42,107
32,NO_2,0.71,0.78,0.65,0.13,183
33,ONO_2,0.55,0.70,0.48,0.22,74
34,N///N+,1.76,1.91,1.58,0.33,182
35,N///N+(BF_4)-,1.65,1.79,1.48,0.31,88
36,NNO_2-,0.00,-0.43,0.20,-0.63,112
37,N_3,0.37,0.08,0.48,-0.40,130
38,O-,-0.47,(-0.81),-0.26,(-0.55),181
39,SO_2_-,-0.02,-0.05,0.03,-0.08,135
40,SO_3_-,0.30,0.35,0.29,0.06,81
41,S-,-0.36,-1.21,0.03,-1.24,"74,97"
42,AsO_3_H-,0.00,-0.02,0.04,-0.06,"74,87"
43,H,0.00,0.00,0.03,0.00,
44,NHON_2,0.91,0.57,0.99,-0.42,112
45,OH,0.12,-0.37,0.33,-0.70,183
46,S(O)OH,-0.04,-0.07,0.01,-0.08,74
47,PO_3_H-,0.20,0.26,0.19,0.07,183
48,OPO_3_H-,0.29,0.00,0.41,-0.41,74
49,SH,0.25,0.15,0.30,-0.15,183
50,B(OH)_2,-0.01,0.12,-0.03,0.15,170
51,NH_2,-0.16,-0.66,0.08,-0.74,183
52,NHOH,-0.04,-0.34,0.11,-0.45,87
53,SO_2_NH_2,0.53,0.60,0.49,0.11,170
54,PO(OH)_2,0.36,0.42,0.34,0.08,74
55,PH_2,0.06,0.05,0.09,-0.04,74
56,B(OH)_3_-,-0.48,-0.44,-0.42,-0.02,90
57,GeH_3,0.00,0.01,0.03,-0.02,"74,280"
58,NH_3,0.86,0.60,0.92,-0.32,181
59,NHNH_2,-0.02,-0.55,0.22,-0.77,87
60,SiH_3,0.05,0.10,0.06,0.04,110
61,CBr_2,0.28,0.29,0.28,0.01,165
62,CClF_2,0.42,0.46,0.40,0.06,74
63,5-chloro-1-tetrazolyl,0.60,0.61,0.58,0.03,165
64,COCl,0.51,0.61,0.46,0.15,164
65,N=CCl_2,0.21,0.13,0.26,-0.13,165
66,CCl_3,0.40,0.46,0.38,0.09,170
67,OCCl_3,0.43,0.35,0.46,-0.11,74
68,COF,0.55,0.70,0.48,0.22,110
69,OCF_2_O,0.36,0.36,0.36,0.00,153
70,CF_3,0.43,0.54,0.38,0.16,183
71,HgCF_3,0.29,0.32,0.29,0.03,74
72,HgSCF_3,0.39,0.42,0.38,0.04,74
73,I=NSO_2_CF_3,1.30,1.35,1.20,0.15,63
74,N=NCF_3,0.56,0.68,0.50,0.18,74
75,OCF_3,0.38,0.35,0.39,-0.04,145
76,SOCF_3,0.63,0.69,0.58,0.11,163
77,SeOCF_3,0.81,0.83,0.76,0.07,74
78,SO_2_CF_3,0.83,0.96,0.74,0.22,70
79,SeO_2_CF_3,1.08,1.21,0.97,0.24,74
80,OSO_2_CF_3,0.56,0.53,0.56,-0.03,118
81,SCF_3,0.40,0.50,0.36,0.14,178
82,SeCF_3,0.44,0.45,0.43,0.02,167
83,HgCN,0.28,0.34,0.27,0.08,74
84,CN,0.56,0.66,0.51,0.15,183
85,NC,0.48,0.49,0.47,0.02,74
86,CN(BBr_3),0.61,0.48,0.64,-0.16,164
87,CB(BCl_3),0.95,0.86,(0.93),(-0.05),164
88,CN(BF_3),0.72,0.66,(0.71),(-0.05),164
89,N=C=O,0.27,0.19,0.31,-0).12,165
90,OCN,0.67,0.54,0.69,-0.15,74
91,SO_2_CN,1.10,1.26,0.97,0.29,74
92,N=C=S,0.48,0.38,0.51,-0.13,156
93,SCN,0.51,0.52,0.49,0.03,"85, 183"
94,SeCN,0.61,0.66,0.57,0.09,"173,87"
95,N=NCN,0.71,1.03,0.56,0.47,72
96,N(O)=NCN,0.78,0.89,0.70,0.19,281
97,C(NO_2)_3,0.72,0.82,0.65,0.17,"74,190"
98,5-azido-1-tetrazolyl,0.54,0.54,0.53,0.01,165
99,CO_2_-,-0.10,0.00,-0.10,0.10,183
100,CHBr_2,0.31,0.32,0.31,0.01,74
101,CHCl_2,0.31,0.32,0.31,0.01,74
102,OCHCl_2,0.38,0.26,0.43,-0.17,74
103,CHF_2,0.29,0.32,0.29,0.03,110
104,OCHF_2,0.31,0.18,0.37,-0.19,146
105,SOCHF_2,0.54,0.58,0.51,0.07,140
106,SO_2_CHF_2,0.75,0.86,0.67,0.19,146
107,SCHF_2,0.33,0.37,0.32,0.05,170
108,S(O)(=NH)CF_3,0.72,0.84,0.64,0.20,62
109,NHSO_2_CF_3,0.44,0.39,0.45,-0.06,74
110,CHI_2,0.26,0.26,0.27,-0.01,74
111,NHCN,0.21,0.06,0.28,-0.22,158
112,1-(1H)-tetrazolyl,0.52,0.50,0.52,-0.02,165
113,5-(1H)-tetrazolyl,0.64,0.56,0.65,-0.09,166
114,5-hydroxy-1-tetrazolyl,0.39,0.33,0.41,-0.08,165
115,5-mercapto-1-tetrazolyl,0.45,0.45,0.44,-0.01,165
116,,0.30,0.19,0.35,-0.16,158
117,CHO,0.35,0.42,0.33,0.09,"87, 174"
118,COOH,0.37,0.45,0.34,0.11,183
119,CH_2_Br,0.12,0.14,0.14,0.00,170
120,CH_2_Cl,0.11,0.12,0.13,-0.01,170
121,OCH_2_Cl,0.25,0.08,0.33,-0.25,74
122,CH_2_F,0.12,0.11,0.15,-0.04,110
123,OCH_2_F,0.20,0.02,0.29,-0.27,74
124,SCH_2_F,0.23,0.20,0.25,-0.05,74
125,CH_2_I,0.10,0.11,0.12,-0.01,170
126,NHCHO,0.19,0.00,0.28,-0.28,156
127,CONH_2,0.28,0.36,0.26,0.10,"87, 187"
128,CSNH_2,0.25,0.30,0.24,0.06,283
129,CH=NOH-T,0.22,0.10,0.28,-0.18,129
130,"3,4-N=CHNH-",-0.15,-0.15,-0.10,-0.05,116
131,N(O)=NCONH_2,0.59,0.63,0.56,0.07,281
132,OCH_2_O-,-0.16,-0.16,-0.11,-0.05,188
