number,substituent,σm,σp,F,R,References
510,,0.38,0.38,0.38,0.00,61
511,,0.17,0.21,0.17,0.04,138
512,CH(C_6H_5)_2,-0.03,-0.05,0.01,-0.06,"74, 102"
513,,0.12,0.07,0.16,-0.09,66
514,PO(C_6H_5)c_6H_4-4-Me,0.13,0.30,0.09,0.21,91
515,CH_2PO(C_6H_5)_2,0.14,0.01,0.21,-0.20,85
516,PS(C_6H_5)C_6H_4-4-Me,0.09,0.30,0.03,0.27,91
517,P+(Me)(C_6H_5)_2,1.13,1.18,1.04,0.14,91
518,Si(Me)(C_6H_5)_2,0.10,0.13,0.11,0.02,74
519,COOCH(C_6H_5)_2,0.36,0.56,0.28,0.28,175
520,PO(C_6H_4-4-Me)_2,0.17,0.30,0.14,0.16,91
521,PS(C_6H_4-4-Me)_2,0.20,0.23,0.20,0.03,91
522,P+(Me)(C_6H_5)(C_6H_4-4-Me),1.09,1.11,1.02,0.09,91
523,P+(Me)(C_6H_4-4-Me)_2,1.13,1.18,1.04,1.14,91
524,Ge(C_6H_5)_3,0.05,0.08,0.07,0.01,98
525,"2-methyl-4,6-diphenylpyridinium",0.65,0.70,0.61,0.09,61
526,N=P(C_6H_5)_3,-0.33,-0.77,-0.10,-0.67,83
527,Si(C_6H_5)_3,-0.03,0.10,-0.04,0.14,132
528,Sn(C_6H_5)_3,(0.53),(0.27),(0.62),(-0.35),164
529,C(C_6H_5)_3,-0.01,0.02,0.01,0.01,131
530,"2,4,6-triphenylpyridinium",0.34,0.33,0.35,-0.02,73
