n,SMILES,σ_meta_exp,σ_meta_calc,σ_para_exp,σ_para_calc
1,[R]C,-0.07,-0.03,-0.17,-0.15
2,[R]N,-0.16,-0.12,-0.66,-0.57
3,[R]O,0.12,0.05,-0.37,-0.33
4,[R]F,0.34,0.37,0.06,0.13
5,[R]Cl,0.37,0.38,0.23,0.20
6,[R]Br,0.39,0.39,0.23,0.28
7,[R]I,0.35,0.36,0.18,0.28
8,[R]CC,-0.07,-0.06,-0.15,-0.17
9,[R]C(C)C,-0.04,-0.04,-0.15,-0.12
10,[R]C(C)(C)C,-0.10,-0.06,-0.20,-0.14
11,[R]C=C,0.06,0.07,-0.04,0.02
12,[R]C#N,0.56,0.53,0.66,0.62
13,[R]CN,-0.03,-0.01,-0.11,-0.10
14,[R]NC,-0.21,-0.17,-0.70,-0.62
15,[R]N(C)C,-0.16,-0.22,-0.83,-0.68
16,[R]CO,0.00,0.03,0.00,-0.06
17,[R]C(C)O,0.08,0.03,-0.07,-0.04
18,[R]C=O,0.35,0.48,0.42,0.68
19,[R]C(C)=O,0.38,0.30,0.50,0.46
20,[R]OC,0.12,0.03,-0.27,-0.33
21,[R]SC,0.15,0.07,0.00,-0.12
22,[R]C(N)=O,0.28,0.21,0.36,0.30
23,[R]NO,-0.04,-0.05,-0.34,-0.37
24,[R]C(O)=O,0.37,0.37,0.45,0.52
25,[R]C(F)F,0.29,0.35,0.32,0.38
26,[R]N(=O)=O,0.71,0.77,0.78,0.98
27,[R]S(C)(=O)=O,0.60,0.46,0.72,0.53
28,[R]C(F)(F)F,0.43,0.55,0.54,0.65
29,[R]S(N)(=O)=O,0.53,0.48,0.60,0.57
30,[R]P(O)(O)=O,0.36,0.32,0.42,0.39
31,[R]CCC,-0.06,-0.04,-0.13,-0.16
32,[R]CC=C,-0.11,0.01,-0.14,-0.10
33,[R]CC(C)C,-0.07,-0.04,-0.12,-0.14
34,[R]C(C)CC,-0.08,-0.03,-0.12,-0.12
35,[R]CC#N,0.16,0.14,0.18,0.06
36,[R]CN(C)C,0.00,-0.01,0.01,-0.09
37,[R]NCC,-0.24,-0.17,-0.61,-0.63
38,[R]COC,0.08,0.07,0.01,-0.01
39,[R]C(=O)CC,0.38,0.31,0.48,0.45
40,[R]OCC,0.10,0.04,-0.24,-0.33
41,[R]OC(C)C,0.10,0.00,-0.45,-0.37
42,[R]CC(N)=O,0.06,0.07,0.07,-0.01
43,[R]C(=O)NC,0.35,0.21,0.36,0.30
44,[R]NC(C)=O,0.21,0.14,0.00,-0.09
45,[R]C(=O)OC,0.36,0.40,0.45,0.54
46,[R]OC(C)=O,0.39,0.31,0.31,0.12
47,[R]OC(F)F,0.31,0.40,0.18,0.17
48,[R]CC(F)(F)F,0.12,0.22,0.09,0.15
49,[R]NS(C)(=O)=O,0.2,0.18,0.03,-0.11
50,[R]OC(F)(F)F,0.38,0.50,0.35,0.30
51,[R]C1CC1,-0.07,0.01,-0.21,-0.07
52,[R]CCCC,-0.08,-0.04,-0.16,-0.16
53,[R]N(CC)CC,-0.23,-0.20,-0.72,-0.63
54,[R]OCCC,0.10,0.04,-0.25,-0.33
55,[R]CCC(O)=O,-0.03,-0.01,-0.07,-0.11
56,[R]C(=O)OCC,0.37,0.39,0.45,0.53
57,[R]C1CCC1,-0.05,-0.01,-0.14,-0.11
58,[R]CCCCC,-0.08,-0.04,-0.15,-0.16
59,[R]C1CCCC1,-0.05,-0.05,-0.14,-0.13
60,[R]c1ccco1,0.06,0.14,0.02,0.08
61,[R]c1ccsc1,0.03,0.07,-0.02,0.01
62,[R]c1cccs1,0.09,0.15,0.05,0.09
63,[R]C1CCCCC1,-0.05,-0.03,-0.15,-0.12
64,[R]c1ccccc1,0.06,0.06,-0.01,0.01
65,[R]c1ccc(C)cc1,0.06,0.03,-0.03,-0.03
66,[R]c1ccc(F)cc1,0.12,0.12,0.06,0.10
67,[R]c1cccc(F)c1,0.15,0.14,0.01,0.12
68,[R]c1ccc(Cl)cc1,0.15,0.12,0.12,0.09
69,[R]c1cccc(Cl)c1,0.15,0.13,0.10,0.11
70,[R]c1ccc(Br)cc1,0.15,0.15,0.12,0.14
71,[R]c1cccc(Br)c1,0.09,0.17,0.08,0.16
72,[R]c1ccncc1,0.27,0.17,0.44,0.18
73,[R]c1cccnc1,0.23,0.15,0.25,0.12
74,[R]c1ccccn1,0.33,0.10,0.17,0.12
75,[R]c1ncccn1,0.23,0.26,0.53,0.32
76,[R]Cc1ccccc1,-0.08,0.01,-0.09,-0.10
77,[R]c1ccc(CC)cc1,0.07,0.02,-0.02,-0.04
78,[R]c1ccc(C(C)(C)C)cc1,0.07,0.03,0.01,-0.03
79,[R]Nc1ccccc1,-0.02,-0.01,-0.56,-0.36
80,[R]c1ccc(OC)cc1,0.05,0.03,-0.08,-0.04
81,[R]C(=O)c1ccccc1,0.34,0.33,0.43,0.44
82,[R]Oc1ccccc1,0.25,0.14,-0.03,-0.17
83,[R]c1ccc(N(=O)=O)cc1,0.25,0.30,0.26,0.37
84,[R]c1cccc(N(=O)=O)c1,0.21,0.20,0.20,0.22
85,[R]S(=O)(=O)c1ccccc1,0.62,0.45,0.68,0.51
86,[R]CCc1ccccc1,-0.07,-0.03,-0.12,-0.14
87,[R]C(=O)Nc1ccccc1,0.23,0.28,0.41,0.35
88,[R]NC(=O)c1ccccc1,0.02,0.17,-0.19,-0.04
89,[R]C(c1ccccc1)c2ccccc2,-0.03,0.04,-0.05,-0.05
