number,substituent,σm,σp,F,R,References
8,SCl,0.44,0.48,0.42,0.06,74
11,PCl,0.54,0.61,0.50,0.11,164
12,P(S)Cl_2,0.7,0.8,0.63,0.17,74
23,SF_3,0.7,0.8,0.63,0.17,110
26,PF_4,0.63,0.8,0.54,0.26,110
33,ONO_2,0.55,0.7,0.48,0.22,74
43,H,0.0,0.0,0.03,0.00,
46,S(O)OH,-0.04,-0.07,0.01,-0.08,74
57,GeH_3,0.0,0.01,0.03,-0.02,"74,280"
65,N=CCl_2,0.21,0.13,0.26,-0.13,165
68,COF,0.55,0.7,0.48,0.22,110
70,CF_3,0.43,0.54,0.38,0.16,183
71,HgCF_3,0.29,0.32,0.29,0.03,74
82,SeCF_3,0.44,0.45,0.43,0.02,167
100,CHBr_2,0.31,0.32,0.31,0.01,74
101,CHCl_2,0.31,0.32,0.31,0.01,74
103,CHF_2,0.29,0.32,0.29,0.03,110
117,CHO,0.35,0.42,0.33,0.09,"87, 174"
118,COOH,0.37,0.45,0.34,0.11,183
119,CH_2_Br,0.12,0.14,0.14,0.00,170
125,CH_2_I,0.1,0.11,0.12,-0.01,170
136,SiMeF_2,0.29,0.23,0.32,-0.09,74
141,NHCSNH_2,0.22,0.16,0.26,-0.10,158
143,CH_2_OH,0.0,0.0,0.03,-0.03,133
146,OS(=O)CH_3,0.44,0.45,0.43,0.02,74
149,SSO_2_Me,0.43,0.54,0.38,0.16,74
151,Sme,0.15,0.0,0.23,-0.23,183
160,COCF_3,0.63,0.8,0.54,0.26,110
165,CF_2_CF_3,0.47,0.52,0.44,0.08,172
168,SCF_2_CF_3,0.44,0.48,0.42,0.06,76
180,SCF_2_CHF_2,0.38,0.47,0.35,0.12,178
185,CH_2_CF_3,0.12,0.09,0.15,-0.06,109
186,CH_2_SOCF_3,0.25,0.24,0.27,-0.03,162
192,CH_2SCN,0.12,0.14,0.14,0.00,74
197,C(Me)(NO_2)_2,0.54,0.61,0.50,0.11,74
200,COMe,0.38,0.5,0.33,0.17,183
203,COOMe,0.37,0.45,0.34,0.11,175
214,CH_2_CONH_2,0.06,0.07,0.08,-0.01,74
220,CH=NNHCONHNH_2,0.22,0.16,0.26,-0.10,93
223,CH_2_OMe,0.08,0.01,0.13,-0.12,85
235,SN(Me)_2,0.12,0.09,0.15,-0.06,74
251,CF=CFCF_3-t,0.39,0.46,0.36,0.10,109
252,N=C(CF_3)_2,0.29,0.23,0.32,-0.09,109
253,CF_2_CF_2_CF_3,0.44,0.48,0.42,0.06,85
271,C(Me)=CH_2,0.09,0.05,0.13,-0.08,85
277,COOEt,0.37,0.45,0.34,0.11,183
287,OCH_2_CH_2_CH_2O-,0.0,0.0,0.03,-0.03,74
293,OCHMe_2,0.1,,0.34,(-0.79),183
297,SCHMe_2,0.23,0.07,0.30,-0.23,74
298,CH_2NMe_2,0.0,0.01,0.03,-0.02,74
299,GeMe_3,0.0,0.0,0.03,-0.03,74
307,SiMe_3,-0.04,-0.07,0.01,-0.08,183
308,SnMe_3,0.0,0.0,0.03,-0.03,"74, 183"
310,"CH_2_-1-(1,7-(BH)_10_-C_2_H)",0.0,0.01,0.03,-0.02,67
318,(CF_2)_3CF_3,0.47,0.52,0.44,0.08,172
326,2-(5-bromofuryl),0.15,0.0,0.23,-0.23,"94,95"
336,2-thienyl,0.09,0.05,0.13,-0.08,159
345,cyclobutyl,-0.05,-0.14,0.02,-0.16,85
346,COCHMe_2,0.38,0.47,0.35,0.12,"74,119"
351,CH_2_CH(Me)_2,-0.07,-0.12,-0.01,-0.11,"176,87"
352,(CH_2)_3_CH_3,-0.08,-0.16,-0.01,+.15,"174, 87"
354,CH_2_C(OH)Me_2,-0.16,-0.17,-0.11,-0.06,"74,102"
365,P(S)Et_2,0.39,0.46,0.36,0.10,79
374,"CH_2_-1-(1,2-(BH)_10_-C_2_Me)",0.1,0.11,0.12,-0.01,67
384,cyclopentyl,-0.05,-0.14,0.02,-0.16,85
390,O(CH_2)_4_CH_3,0.1,,0.29,(-0.63),183
391,CH_2_PO(OEt)_2,0.12,0.06,0.17,-0.11,85
393,CH_2_CH_2_Si(Me)_3,-0.16,-0.17,-0.11,-0.06,"74, 132"
395,C_6_Cl_5,0.25,0.24,0.27,-0.03,151
404,C_6_H_4-4-Br,0.15,0.12,0.18,-0.06,85
405,C_6_H_4-3-Cl,0.15,0.1,0.19,-0.09,85
406,C_6_H_4-4-Cl,0.15,0.12,0.18,-0.06,85
407,C_6_H_4-3-F,0.15,0.1,0.19,-0.09,85
408,C_6_H_4-4-F,0.12,0.06,0.17,-0.11,85
417,C_6_H_5,0.06,-0.01,0.12,-0.13,183
426,SC_6H_5,0.23,0.07,0.30,-0.23,85
435,(CH_2)_4NMe_2,-0.08,-0.16,-0.01,-0.15,74
438,P(O)(OPr)_2,0.38,0.5,0.33,0.17,152
439,Ge(Et)_3,0.0,0.0,0.03,-0.03,"74,183"
440,(CH_2)_3N(Me)_3+,0.06,-0.01,0.12,-0.13,74
443,Sn(Et)_3,0.0,0.0,0.03,-0.03,"74, 183"
449,OCOC_6H_5,0.21,0.13,0.26,-0.13,156
452,CH\=NC_6H_5,0.35,0.42,0.33,0.09,"136,137"
460,CH_2OC_6H_5,0.06,0.07,0.08,-0.01,"128,282"
467,CH=NCOC_6H_5,0.39,0.51,0.34,0.17,74
470,CH=NNHCOC_6H_5,0.39,0.51,0.34,0.17,93
473,SCH=NSO_2C_6H_4-4-Me,0.65,0.7,0.61,0.09,74
475,CH_2CH_2C_6H_5,-0.07,-0.12,-0.01,-0.11,74
478,S(Me)=NSO_2C_6H_4-4-Me,0.65,0.7,0.61,0.09,205
491,C_6H_4-4-CHMe_2,0.08,0.01,0.13,-0.12,85
