number,substituent
1,BF_2
2,Br
3,GeBr_3
4,SiBr_3
5,Cl
6,HgCl
7,SO_2_Cl
8,SCl
9,ICl_2
10,P(O)Cl_2
11,PCl
12,P(S)Cl_2
13,GeCl_3
14,SiCl_3
15,F
16,HgF
17,SOF
18,SO_2_F
19,IF_2
20,POF_2
21,PF_2
22,GeF_3
23,SF_3
24,SiF_3
25,IF_4
26,PF_4
27,SF_5
28,I
29,IO
30,IO_2
31,NO
32,NO_2
33,ONO_2
34,N///N+
35,N///N+(BF_4)-
36,NNO_2-
37,N_3
38,O-
39,SO_2_-
40,SO_3_-
41,S-
42,AsO_3_H-
43,H
44,NHON_2
45,OH
46,S(O)OH
47,PO_3_H-
48,OPO_3_H-
49,SH
50,B(OH)_2
51,NH_2
52,NHOH
53,SO_2_NH_2
54,PO(OH)_2
55,PH_2
56,B(OH)_3_-
57,GeH_3
58,NH_3
59,NHNH_2
60,SiH_3
61,CBr_2
62,CClF_2
63,5-chloro-1-tetrazolyl
64,COCl
65,N=CCl_2
66,CCl_3
67,OCCl_3
68,COF
69,OCF_2_O
70,CF_3
71,HgCF_3
72,HgSCF_3
73,I=NSO_2_CF_3
74,N=NCF_3
75,OCF_3
76,SOCF_3
77,SeOCF_3
78,SO_2_CF_3
79,SeO_2_CF_3
80,OSO_2_CF_3
81,SCF_3
82,SeCF_3
83,HgCN
84,CN
85,NC
86,CN(BBr_3)
87,CB(BCl_3)
88,CN(BF_3)
89,N=C=O
90,OCN
91,SO_2_CN
92,N=C=S
93,SCN
94,SeCN
95,N=NCN
96,N(O)=NCN
97,C(NO_2)_3
98,5-azido-1-tetrazolyl
99,CO_2_-
100,CHBr_2
101,CHCl_2
102,OCHCl_2
103,CHF_2
104,OCHF_2
105,SOCHF_2
106,SO_2_CHF_2
107,SCHF_2
108,S(O)(=NH)CF_3
109,NHSO_2_CF_3
110,CHI_2
111,NHCN
112,1-(1H)-tetrazolyl
113,5-(1H)-tetrazolyl
114,5-hydroxy-1-tetrazolyl
115,5-mercapto-1-tetrazolyl
116,
117,CHO
118,COOH
119,CH_2_Br
120,CH_2_Cl
121,OCH_2_Cl
122,CH_2_F
123,OCH_2_F
124,SCH_2_F
125,CH_2_I
126,NHCHO
127,CONH_2
128,CSNH_2
129,CH=NOH-T
130,"3,4-N=CHNH-"
131,N(O)=NCONH_2
132,OCH_2_O-
133,Me
134,CH_2_SO_2_R
135,SiMeCl_2
136,SiMeF_2
137,HgMe
138,NHCH_2_SO_3
139,NHCONH_2
140,N(Me)NO_2
141,NHCSNH_2
142,OMe
143,CH_2_OH
144,SOMe
145,S(OMe)
146,OS(=O)CH_3
147,S(O)OMe
148,SO_2_Me
149,SSO_2_Me
150,OSO_2_Me
151,Sme
152,SSMe
153,SeMe
154,NHMe
155,CH_2_NH_2
156,NHSO_2_Me
157,CH_2_NH_3+
158,N(COF)_2
159,HgOCOCF_3
160,COCF_3
161,SCOCF_3
162,OCOCF_3
163,N(CF_3)C=O(F)
164,CF_2_OCF_2-
165,CF_2_CF_3
166,OCF_2_CF_3
167,SO_2_CF_2CF_3
168,SCF_2_CF_3
169,N(CF_3)_2
170,S(CF_3)=NSO_2_CF_3
171,SO(CF_3)=NSO_2_CD_3
172,N(SO_2_CF_3)_2
173,P(CF_3)_2
174,P(CN)_2
175,C///CH
176,OCF_2_CHFCl
177,NHCOCF_3
178,CH=NSO_2_CF_3
179,OCF_2_CHF_2
180,SCF_2_CHF_2
181,
182,SC///CH
183,SCH=CHCl
184,SeCH=CHCl
185,CH_2_CF_3
186,CH_2_SOCF_3
187,CH_2_SO_2_CF_3
188,CH_2_SCF_3
189,CH_2_CN
190,CH=CHNO_2-t
191,CH_2_CO_2-
192,CH_2SCN
193,CH=CH_2
194,NHCOCH_2_Cl
195,N(Me)SO_2_CF_3
196,HgOCOCH_3
197,C(Me)(NO_2)_2
198,oxiranyl
199,OCH=CH_2
200,COMe
201,SCOMe
202,OCOMe
203,COOMe
204,2-thiacyclopropyl
205,SCH=CH_2
206,SeCH=CH_2
207,1-azirdinyl
208,2-azirdinyl
209,N-methyl-3-oxaziridinyl
210,NHCOOMe
211,NHCOMe
212,CONHMe
213,CH=NOMe
214,CH_2_CONH_2
215,NHCSMe
216,CSNHMe
217,CH=NNHCSNH_2
218,OCH_2_CH_2_O-
219,Et
220,CH=NNHCONHNH_2
221,OCH_2_CH_3
222,CH(OH)Me
223,CH_2_OMe
224,SO_2_Et
225,SEt
226,P(Cl)NMe_2
227,CH_2_SC(NH_2)_2+
228,SiClMe_2
229,SiFMe_2
230,NHEt
231,N(Me)_2
232,N(Me)SO_2_Me
233,SO_2_NMe_2
234,N(SO_2Me)_2
235,SN(Me)_2
236,N=NNMe_2
237,N(Me)N+=(Me)N-
238,P(O)Me_2
239,PO(OMe)_2
240,PMe_2
241,S+Me_2
242,S+(Me)_2_tosyl
243,CH_2_CH_2_NH_3+
244,SiH(Me)_2
245,"1-(1,7(BH)_10-C_2_H)"
246,"2-(1,7(BH)_10-C_2_H)"
247,"4-(1,7(BH)_10-C_2_H)"
248,"1-(1,2(BH)_10-C_2_H)"
249,"3-(1,2(BH)_10-C_2_H)"
250,C///CCF_3
251,CF=CFCF_3-t
252,N=C(CF_3)_2
253,CF_2_CF_2_CF_3
254,CF(CF_3)_2
255,SO_2_CF_2_CF_2_CF_3
256,SO_2_CF(CF_3)_2
257,SCF_2_CF_2_CF_3
258,SCF(CF_3)_2
259,TeCF_2_CF_2_CF_3
260,C(OH)(CF_3)_2
261,CH(SCF_3)_2
262,CH(CN)_2
263,CH=CHCF_3-c
264,CH=CHCF_3-t
265,CH=CHSO_2_CF_3
266,CH=CHCN
267,C///Cme
268,N(Me)COCF_3
269,CH=CHCHO
270,cyclopropyl
271,C(Me)=CH_2
272,CH=CHMe-t
273,CH_2_CH=CH_2
274,C(Et)(NO_2)_2
275,OCH_2_CH=CH_2
276,COEt
277,COOEt
278,CH_2_OCOMe
279,CH_2_CH_2_COOH
280,SCH_2_CH=CH_2
281,SeCH_2CH==CH_2
282,CH_2_CH_2_CH_2-
283,N(Me)COMe
284,CH_2_NHCOMe
285,NHCOOEt
286,C(NO_2)Me_2
287,OCH_2_CH_2_CH_2O-
288,isopropyl
289,CH_2_CH_2_CH_3
290,N+(Me)=CHN(Me)-
291,NHCONHEt
292,NHCSNHEt
293,OCHMe_2
294,OCH_2CH_2CH_3
295,CH_2CH(OH)Me
296,C(OOH)Me_2
297,SCHMe_2
298,CH_2NMe_2
299,GeMe_3
300,N+(Me)_3
301,CH_2_NH+(Me)_2
302,Si(Me)_2_OMe
303,OSiMe_3
304,SiMe(OMe)_2
305,Si(OMe)_3
306,P+Me_3
307,SiMe_3
308,SnMe_3
309,"1-(1,2-BH)_10_-C_2_Me)"
310,"CH_2_-1-(1,7-(BH)_10_-C_2_H)"
311,"CH_2_-1-(1,2-(BH)_10_-C_2_H)"
312,"1-(1,2-BH)_10_-C_3_H_3_HgCH_3)"
313,2-(hydroxymethyl)carboran-1-yl
314,I(OCOCF_3)_2
315,cyclo-C_4_F_7
