number,substituent,σm,σp,F,R,References
1,,0.32,0.48,0.26,0.22,109
2,,0.39,0.23,0.45,-0.22,183
3,,0.66,0.73,0.61,0.12,139
4,,0.48,0.57,0.44,0.13,139
5,,0.37,0.23,0.42,-0.19,183
6,,0.33,0.35,0.33,0.02,74
7,,1.20,1.11,1.16,(-0.05),134
8,,0.44,0.48,0.42,0.06,74
9,,1.10,1.11,1.03,0.08,110
10,,0.78,0.90,0.70,0.20,74
11,,0.54,0.61,0.50,0.11,164
12,,0.70,0.80,0.63,0.17,74
13,,0.71,0.79,0.65,0.14,139
14,,0.48,0.56,0.44,0.12,139
15,,0.34,0.06,0.45,-0.39,183
16,,0.34,0.33,0.35,-0.02,74
17,,0.74,0.83,0.67,0.16,74
18,,0.80,0.91,0.72,0.19,142
19,,0.85,0.83,0.82,0.01,110
20,,0.81,0.89,0.74,0.15,164
21,,0.49,0.59,0.44,0.15,109
22,,0.85,0.97,0.76,0.21,139
23,,0.70,0.80,0.63,0.17,110
24,,0.54,0.69,0.47,0.22,164
25,,1.07,1.15,0.98,0.17,110
26,,0.63,0.80,0.54,0.26,110
27,,0.61,0.68,0.56,0.12,179
28,,0.35,0.18,0.42,-0.24,183
29,,0.58,0.62,0.55,0.07,63
30,,0.68,0.78,0.61,0.17,170
31,,0.62,0.91,0.49,0.42,107
32,,0.71,0.78,0.65,0.13,183
33,,0.55,0.70,0.48,0.22,74
34,,1.76,1.91,1.58,0.33,182
35,,1.65,1.79,1.48,0.31,88
36,,0.00,-0.43,0.20,-0.63,112
37,,0.37,0.08,0.48,-0.40,130
38,,-0.47,(-0.81),-0.26,(-0.55),181
39,,-0.02,-0.05,0.03,-0.08,135
40,,0.30,0.35,0.29,0.06,81
41,,-0.36,-1.21,0.03,-1.24,"74,97"
42,,0.00,-0.02,0.04,-0.06,"74,87"
43,,0.00,0.00,0.03,0.00,
44,,0.91,0.57,0.99,-0.42,112
45,,0.12,-0.37,0.33,-0.70,183
46,,-0.04,-0.07,0.01,-0.08,74
47,,0.20,0.26,0.19,0.07,183
48,,0.29,0.00,0.41,-0.41,74
49,,0.25,0.15,0.30,-0.15,183
50,,-0.01,0.12,-0.03,0.15,170
51,,-0.16,-0.66,0.08,-0.74,183
52,,-0.04,-0.34,0.11,-0.45,87
53,,0.53,0.60,0.49,0.11,170
54,,0.36,0.42,0.34,0.08,74
55,,0.06,0.05,0.09,-0.04,74
56,,-0.48,-0.44,-0.42,-0.02,90
57,,0.00,0.01,0.03,-0.02,"74,280"
58,,0.86,0.60,0.92,-0.32,181
59,,-0.02,-0.55,0.22,-0.77,87
60,,0.05,0.10,0.06,0.04,110
61,,0.28,0.29,0.28,0.01,165
62,,0.42,0.46,0.40,0.06,74
63,,0.60,0.61,0.58,0.03,165
64,,0.51,0.61,0.46,0.15,164
65,,0.21,0.13,0.26,-0.13,165
66,,0.40,0.46,0.38,0.09,170
67,,0.43,0.35,0.46,-0.11,74
68,,0.55,0.70,0.48,0.22,110
69,,0.36,0.36,0.36,0.00,153
70,,0.43,0.54,0.38,0.16,183
71,,0.29,0.32,0.29,0.03,74
72,,0.39,0.42,0.38,0.04,74
73,,1.30,1.35,1.20,0.15,63
74,,0.56,0.68,0.50,0.18,74
75,,0.38,0.35,0.39,-0.04,145
76,,0.63,0.69,0.58,0.11,163
77,,0.81,0.83,0.76,0.07,74
78,,0.83,0.96,0.74,0.22,70
79,,1.08,1.21,0.97,0.24,74
80,,0.56,0.53,0.56,-0.03,118
81,,0.40,0.50,0.36,0.14,178
82,,0.44,0.45,0.43,0.02,167
83,,0.28,0.34,0.27,0.08,74
84,,0.56,0.66,0.51,0.15,183
85,,0.48,0.49,0.47,0.02,74
86,,0.61,0.48,0.64,-0.16,164
87,,0.95,0.86,(0.93),(-0.05),164
88,,0.72,0.66,(0.71),(-0.05),164
